anio,region_label,region_slug,q1,q2,q3,q4,vivienda_m2_eur_corriente,deflactor_hasta_1986,vivienda_m2_eur_a_1986,anio_base,vivienda_m2_pct_desde_base,pib_per_capita_eur_a_1986,pib_per_capita_pct_desde_1995
2004,Castilla-La Mancha,castilla_la_mancha,956.4,1001.2,1047.3,1115.8,1030.175,0.48,494.484,1995,57.83007741743975,9688.88,35.25721385394998
2005,Castilla-La Mancha,castilla_la_mancha,1180.7,1218.5,1255.1,1278.9,1233.3,0.46,567.318,1995,81.07733285668917,9935.24,38.69641087208409
2006,Castilla-La Mancha,castilla_la_mancha,1321.2,1356.6,1362.5,1401.6,1360.475,0.45,612.21375,1995,95.40721956326416,10225.53,42.748872726257446
2007,Castilla-La Mancha,castilla_la_mancha,1407.4,1417.7,1433.4,1438.0,1424.125,0.44,626.615,1995,100.00383017636368,10482.09,46.33046221713455
2008,Castilla-La Mancha,castilla_la_mancha,1447.5,1429.8,1388.5,1342.5,1402.075,0.42,588.8715,1995,87.95680837787243,10201.68,42.41592562087306
2009,Castilla-La Mancha,castilla_la_mancha,1279.9,1244.1,1223.6,1238.6,1246.55,0.42,523.5509999999999,1995,67.10772211432119,9755.29,36.18430053187778
2010,Castilla-La Mancha,castilla_la_mancha,1235.0,1258.0,1240.3,1239.1,1243.1,0.41,509.67099999999994,1995,62.677484787018244,9544.72,33.24473357251545
2011,Castilla-La Mancha,castilla_la_mancha,1198.1,1168.1,1161.7,1165.3,1173.3,0.4,469.32,1995,49.79819758283954,9153.42,27.78216743679589
2012,Castilla-La Mancha,castilla_la_mancha,1110.0,1074.0,1038.6,1034.4,1064.25,0.39,415.0575,1995,32.478618838403285,8623.37,20.38264487038097
2013,Castilla-La Mancha,castilla_la_mancha,986.7,950.2,928.5,907.2,943.1500000000001,0.38,358.39700000000005,1995,14.39364318396179,8445.8,17.903759440481327
2014,Castilla-La Mancha,castilla_la_mancha,893.5,899.1,890.2,879.1,890.475,0.39,347.28525,1995,10.846979666551238,8607.94,20.167241355241305
2015,Castilla-La Mancha,castilla_la_mancha,882.9,885.9,881.7,891.9,885.6,0.39,345.384,1995,10.240136098933462,9064.5,26.54084011558917
2016,Castilla-La Mancha,castilla_la_mancha,882.5,876.1,872.9,881.3,878.2,0.39,342.49800000000005,1995,9.318978683472645,9390.19,31.087487610458876
2017,Castilla-La Mancha,castilla_la_mancha,878.9,874.2,873.9,874.2,875.3,0.38,332.614,1995,6.164190085269294,9577.78,33.706252704758974
2018,Castilla-La Mancha,castilla_la_mancha,869.5,864.9,875.2,890.0,874.9,0.37,323.71299999999997,1995,3.3231567675226614,9725.29,35.76549914145717
2019,Castilla-La Mancha,castilla_la_mancha,885.7,877.6,884.5,888.0,883.95,0.37,327.0615,1995,4.391935563666327,9932.49,38.65802074462887
2020,Castilla-La Mancha,castilla_la_mancha,873.2,855.6,875.3,886.0,872.525,0.37,322.83425,1995,3.042676144225287,8907.37,24.347298033029485
2021,Castilla-La Mancha,castilla_la_mancha,870.4,882.4,887.1,897.1,884.25,0.36,318.33,1995,1.6050034870564112,9424.47,31.566037999246156
2022,Castilla-La Mancha,castilla_la_mancha,913.0,913.3,913.2,919.1,914.65,0.33,301.8345,1995,-3.66005269684313,9648.03,34.686945960660594
2023,Castilla-La Mancha,castilla_la_mancha,929.1,939.9,947.8,942.7,939.875,0.32,300.76,1995,-4.003013072072747,10041.48,40.17952619602696
2024,Castilla-La Mancha,castilla_la_mancha,956.2,964.8,977.7,1002.8,975.375,0.32,312.12,1995,-0.3771127811389219,10559.01,47.40426898217302
2025,Castilla-La Mancha,castilla_la_mancha,1036.5,1059.8,1079.8,1119.4,1073.875,0.32,343.64,1995,9.683483800747839,,
1995,Castilla y León,castilla_y_leon,616.9,631.6,641.4,635.3,631.3,0.62,391.40599999999995,1995,0.0,7163.3,0.0
1996,Castilla y León,castilla_y_leon,618.1,641.4,636.5,632.8,632.2,0.6,379.32,1995,-3.0878422916357895,7318.4,2.1652031884745737
1997,Castilla y León,castilla_y_leon,640.2,648.8,646.3,652.5,646.95,0.59,381.70050000000003,1995,-2.4796502864033565,7587.08,5.91598844108161
